id,ubigeo,region,provincia,distrito,area_terreno_m2,area_ocupada_m2,area_disponible_m2,area_techada_m2,antiguedad_anios,tiene_planos,planos_actualizados,material_predom_paredes,estado_conserv_paredes,material_predom_pisos,estado_conserv_pisos,material_predom_techo,estado_conserv_techo,electricidad_7_dias,electricidad_con,agua_procedencia,agua_potable,agua_7_dias,banio_coneccion
0122,061303,CAJAMARCA,SANTA CRUZ,CATACHE,199,199,0,199,16,No,NA,¿Adobe o tapial?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Planchas de calamina / metálicas / latón?,Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0123,061303,CAJAMARCA,SANTA CRUZ,CATACHE,1136,312,824,312,43,No,NA,¿Adobe o tapial?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Planchas de calamina / metálicas / latón?,Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,No,NA,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0124,061304,CAJAMARCA,SANTA CRUZ,CHANCAYBAÑOS,204,204,0,204,24,No,NA,¿Adobe o tapial?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Madera / entablillado?,Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0125,061306,CAJAMARCA,SANTA CRUZ,NINABAMBA,424,424,0,224,50,No,NA,¿Adobe o tapial?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Planchas de calamina / metálicas / latón?,Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0126,061307,CAJAMARCA,SANTA CRUZ,PULÁN,300,300,0,400,51,No,NA,¿Adobe o tapial?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Planchas de calamina / metálicas / latón?,Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,No,NA,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0127,061310,CAJAMARCA,SANTA CRUZ,UTICYACU,224,144,80,267,40,No,NA,¿Adobe o tapial?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Planchas de calamina / metálicas / latón?,Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,No,NA,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0128,061311,CAJAMARCA,SANTA CRUZ,YAUYUCÁN,991,991,0,313,41,No,NA,¿Adobe o tapial?,Malo,"¿Losetas, terrazos, cerámicas o similares?",Muy bueno,¿Planchas de calamina / metálicas / latón?,Malo,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,No,NA,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0129,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,918,674,244,831,18,Sí,No,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,"¿Concreto armado (losa aligerada, losa maciza)?",Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0130,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,1857,1557,300,1459,31,No,NA,¿Ladrillo o bloque de cemento?,Bueno,¿Cemento?,Bueno,"¿Concreto armado (losa aligerada, losa maciza)?",Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0131,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,86,86,0,86,27,No,NA,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Fibra de cemento o similar?,Bueno,Sí,¿Medidor compartido con alguna entidad pública o privada?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0132,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,747,747,0,747,15,No,NA,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,"¿Concreto armado (losa aligerada, losa maciza)?",Bueno,Sí,¿Medidor compartido con alguna entidad pública o privada?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0133,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,1397,285,1112,570,47,No,NA,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,"¿Concreto armado (losa aligerada, losa maciza)?",Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0134,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,271,271,0,813,22,Sí,No,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,"¿Concreto armado (losa aligerada, losa maciza)?",Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
